                         MINRES: Gauss-Seidel	 1.74	    Timeout occured!	   1000.79	       139	
                         MINRES: Gauss-Seidel	 1.75	    Timeout occured!	   1000.36	       139	
                         MINRES: Gauss-Seidel	 1.76	    Timeout occured!	   1001.29	       139	
                         MINRES: Gauss-Seidel	 1.77	    Timeout occured!	   1000.56	       139	
                         MINRES: Gauss-Seidel	 1.78	    Timeout occured!	   1007.09	       140	
                         MINRES: Gauss-Seidel	 1.79	    Timeout occured!	   1001.18	       139	
                         MINRES: Gauss-Seidel	  1.8	    Timeout occured!	   1001.25	       139	
                         MINRES: Gauss-Seidel	 1.81	    Timeout occured!	   1000.17	       139	
                         MINRES: Gauss-Seidel	 1.82	    Timeout occured!	   1006.79	       140	
                         MINRES: Gauss-Seidel	 1.83	    Timeout occured!	   1000.55	       139	
                         MINRES: Gauss-Seidel	 1.84	    Timeout occured!	   1002.18	       139	
                         MINRES: Gauss-Seidel	 1.85	    Timeout occured!	   1000.02	       139	
                         MINRES: Gauss-Seidel	 1.86	    Timeout occured!	   1001.29	       139	
                         MINRES: Gauss-Seidel	 1.87	    Timeout occured!	   1002.39	       139	
                         MINRES: Gauss-Seidel	 1.88	    Timeout occured!	   1007.09	       140	
                         MINRES: Gauss-Seidel	 1.89	    Timeout occured!	   1001.71	       139	
                         MINRES: Gauss-Seidel	  1.9	    Timeout occured!	   1001.32	       139	
                         MINRES: Gauss-Seidel	 1.91	    Timeout occured!	   1001.83	       139	
                         MINRES: Gauss-Seidel	 1.92	    Timeout occured!	   1001.33	       139	
                         MINRES: Gauss-Seidel	 1.93	    Timeout occured!	   1007.01	       140	
                         MINRES: Gauss-Seidel	 1.94	    Timeout occured!	   1000.89	       125	
                         MINRES: Gauss-Seidel	 1.95	    Timeout occured!	   1005.87	       115	
                         MINRES: Gauss-Seidel	 1.96	    Timeout occured!	   1003.86	       113	
                         MINRES: Gauss-Seidel	 1.97	    Timeout occured!	   1003.67	       132	
                         MINRES: Gauss-Seidel	 1.98	    Timeout occured!	   1006.18	       127	
                         MINRES: Gauss-Seidel	 1.99	    Timeout occured!	   1005.93	       128	
