            Jacobi method with sub-relaxation	 1.52	    Compute complete	   74.2208	       770	
            Jacobi method with sub-relaxation	 1.53	    Compute complete	   75.3159	       762	
            Jacobi method with sub-relaxation	 1.54	    Compute complete	   70.5664	       754	
            Jacobi method with sub-relaxation	 1.55	    Compute complete	   70.0888	       747	
            Jacobi method with sub-relaxation	 1.56	    Compute complete	   69.1981	       739	
            Jacobi method with sub-relaxation	 1.57	    Compute complete	   68.8767	       732	
            Jacobi method with sub-relaxation	 1.58	    Compute complete	   67.3141	       725	
            Jacobi method with sub-relaxation	 1.59	    Compute complete	   67.1499	       718	
            Jacobi method with sub-relaxation	  1.6	    Compute complete	    66.437	       712	
            Jacobi method with sub-relaxation	 1.61	    Compute complete	   67.8239	       705	
            Jacobi method with sub-relaxation	 1.62	    Compute complete	   66.5387	       699	
            Jacobi method with sub-relaxation	 1.63	    Compute complete	   64.6662	       693	
            Jacobi method with sub-relaxation	 1.64	    Compute complete	   66.0497	       687	
            Jacobi method with sub-relaxation	 1.65	    Compute complete	   63.7645	       681	
            Jacobi method with sub-relaxation	 1.66	    Compute complete	   65.1974	       675	
            Jacobi method with sub-relaxation	 1.67	    Compute complete	   62.8866	       670	
            Jacobi method with sub-relaxation	 1.68	    Compute complete	   61.9741	       664	
            Jacobi method with sub-relaxation	 1.69	    Compute complete	   61.7423	       659	
            Jacobi method with sub-relaxation	  1.7	    Compute complete	   61.1014	       654	
            Jacobi method with sub-relaxation	 1.71	    Compute complete	   60.8128	       649	
            Jacobi method with sub-relaxation	 1.72	    Compute complete	    63.198	       644	
            Jacobi method with sub-relaxation	 1.73	    Compute complete	   59.8922	       639	
            Jacobi method with sub-relaxation	 1.74	    Compute complete	   59.4192	       634	
            Jacobi method with sub-relaxation	 1.75	    Compute complete	   60.5862	       630	
            Jacobi method with sub-relaxation	 1.76	    Compute complete	    58.522	       625	
            Jacobi method with sub-relaxation	 1.77	    Compute complete	   58.0823	       621	
            Jacobi method with sub-relaxation	 1.78	    Compute complete	   58.1861	       617	
            Jacobi method with sub-relaxation	 1.79	    Compute complete	    57.398	       612	
            Jacobi method with sub-relaxation	  1.8	    Compute complete	   56.8002	       608	
            Jacobi method with sub-relaxation	 1.81	    Compute complete	   56.5993	       604	
            Jacobi method with sub-relaxation	 1.82	    Compute complete	   56.1195	       600	
            Jacobi method with sub-relaxation	 1.83	    Compute complete	   55.4113	       596	
            Jacobi method with sub-relaxation	 1.84	    Compute complete	   58.3201	       593	
            Jacobi method with sub-relaxation	 1.85	    Compute complete	   55.2101	       589	
            Jacobi method with sub-relaxation	 1.86	    Compute complete	   54.9173	       585	
            Jacobi method with sub-relaxation	 1.87	    Compute complete	   54.5196	       582	
            Jacobi method with sub-relaxation	 1.88	    Compute complete	   54.2103	       578	
            Jacobi method with sub-relaxation	 1.89	    Compute complete	   56.1246	       575	
            Jacobi method with sub-relaxation	  1.9	    Compute complete	   53.5444	       571	
            Jacobi method with sub-relaxation	 1.91	    Compute complete	   53.0336	       568	
            Jacobi method with sub-relaxation	 1.92	    Compute complete	   53.0621	       565	
            Jacobi method with sub-relaxation	 1.93	    Compute complete	   52.4446	       561	
            Jacobi method with sub-relaxation	 1.94	    Compute complete	   52.1936	       558	
            Jacobi method with sub-relaxation	 1.95	    Compute complete	    52.312	       555	
            Jacobi method with sub-relaxation	 1.96	    Compute complete	     51.78	       552	
            Jacobi method with sub-relaxation	 1.97	    Compute complete	   54.0531	       549	
            Jacobi method with sub-relaxation	 1.98	    Compute complete	   51.1486	       546	
            Jacobi method with sub-relaxation	 1.99	    Compute complete	   50.8045	       543	
