          Gradient method with preconditioner	 0.32	    Compute complete	  0.028826	         2	
          Gradient method with preconditioner	 0.33	    Compute complete	  0.033401	         2	
          Gradient method with preconditioner	 0.34	    Compute complete	  0.036853	         2	
          Gradient method with preconditioner	 0.35	    Compute complete	  0.027935	         2	
          Gradient method with preconditioner	 0.36	    Compute complete	  0.027796	         2	
          Gradient method with preconditioner	 0.37	    Compute complete	  0.027704	         2	
          Gradient method with preconditioner	 0.38	    Compute complete	  0.027661	         2	
          Gradient method with preconditioner	 0.39	    Compute complete	  0.037906	         2	
          Gradient method with preconditioner	  0.4	    Compute complete	  0.027895	         2	
          Gradient method with preconditioner	 0.41	    Compute complete	  0.031051	         2	
          Gradient method with preconditioner	 0.42	    Compute complete	  0.027514	         2	
          Gradient method with preconditioner	 0.43	    Compute complete	  0.027804	         2	
          Gradient method with preconditioner	 0.44	    Compute complete	  0.031031	         2	
          Gradient method with preconditioner	 0.45	    Compute complete	  0.028078	         2	
          Gradient method with preconditioner	 0.46	    Compute complete	   0.02751	         2	
          Gradient method with preconditioner	 0.47	    Compute complete	  0.028479	         2	
          Gradient method with preconditioner	 0.48	    Compute complete	  0.034964	         2	
          Gradient method with preconditioner	 0.49	    Compute complete	  0.030141	         2	
          Gradient method with preconditioner	  0.5	    Compute complete	  0.027583	         2	
          Gradient method with preconditioner	 0.51	    Compute complete	  0.028997	         2	
          Gradient method with preconditioner	 0.52	    Compute complete	  0.027772	         2	
          Gradient method with preconditioner	 0.53	    Compute complete	  0.027589	         2	
          Gradient method with preconditioner	 0.54	    Compute complete	  0.027951	         2	
          Gradient method with preconditioner	 0.55	    Compute complete	  0.027565	         2	
          Gradient method with preconditioner	 0.56	    Compute complete	  0.027952	         2	
          Gradient method with preconditioner	 0.57	    Compute complete	  0.037063	         2	
          Gradient method with preconditioner	 0.58	    Compute complete	  0.028226	         2	
          Gradient method with preconditioner	 0.59	    Compute complete	  0.027974	         2	
          Gradient method with preconditioner	  0.6	    Compute complete	  0.029756	         2	
          Gradient method with preconditioner	 0.61	    Compute complete	  0.026901	         2	
          Gradient method with preconditioner	 0.62	    Compute complete	   0.02745	         2	
          Gradient method with preconditioner	 0.63	    Compute complete	  0.027665	         2	
          Gradient method with preconditioner	 0.64	    Compute complete	   0.02773	         2	
          Gradient method with preconditioner	 0.65	    Compute complete	  0.031575	         2	
          Gradient method with preconditioner	 0.66	    Compute complete	  0.034612	         2	
          Gradient method with preconditioner	 0.67	    Compute complete	  0.027655	         2	
          Gradient method with preconditioner	 0.68	    Compute complete	  0.027505	         2	
          Gradient method with preconditioner	 0.69	    Compute complete	  0.027729	         2	
          Gradient method with preconditioner	  0.7	    Compute complete	  0.027635	         2	
          Gradient method with preconditioner	 0.71	    Compute complete	  0.034876	         2	
          Gradient method with preconditioner	 0.72	    Compute complete	   0.02745	         2	
          Gradient method with preconditioner	 0.73	    Compute complete	  0.031164	         2	
          Gradient method with preconditioner	 0.74	    Compute complete	  0.027516	         2	
