       Gradient method without preconditioner	 1.53	    Compute complete	   602.448	      7227	
       Gradient method without preconditioner	 1.54	    Compute complete	   613.201	      7227	
       Gradient method without preconditioner	 1.55	    Compute complete	   614.451	      7227	
       Gradient method without preconditioner	 1.56	    Compute complete	   614.436	      7227	
       Gradient method without preconditioner	 1.57	    Compute complete	   641.561	      7227	
       Gradient method without preconditioner	 1.58	    Compute complete	   599.613	      7227	
       Gradient method without preconditioner	 1.59	    Compute complete	   607.753	      7227	
       Gradient method without preconditioner	  1.6	    Compute complete	   612.431	      7227	
       Gradient method without preconditioner	 1.61	    Compute complete	   622.773	      7227	
       Gradient method without preconditioner	 1.62	    Compute complete	   605.688	      7227	
       Gradient method without preconditioner	 1.63	    Compute complete	   611.934	      7227	
       Gradient method without preconditioner	 1.64	    Compute complete	   608.952	      7227	
       Gradient method without preconditioner	 1.65	    Compute complete	   600.864	      7227	
       Gradient method without preconditioner	 1.66	    Compute complete	   652.998	      7227	
       Gradient method without preconditioner	 1.67	    Compute complete	    640.97	      7227	
       Gradient method without preconditioner	 1.68	    Compute complete	   623.826	      7227	
       Gradient method without preconditioner	 1.69	    Compute complete	   620.983	      7227	
       Gradient method without preconditioner	  1.7	    Compute complete	   618.314	      7227	
       Gradient method without preconditioner	 1.71	    Compute complete	     603.9	      7227	
       Gradient method without preconditioner	 1.72	    Compute complete	   604.136	      7227	
       Gradient method without preconditioner	 1.73	    Compute complete	   728.989	      7227	
       Gradient method without preconditioner	 1.74	    Compute complete	   627.738	      7227	
       Gradient method without preconditioner	 1.75	    Compute complete	   620.151	      7227	
       Gradient method without preconditioner	 1.76	    Compute complete	    601.62	      7227	
       Gradient method without preconditioner	 1.77	    Compute complete	   600.719	      7227	
       Gradient method without preconditioner	 1.78	    Compute complete	   602.512	      7227	
       Gradient method without preconditioner	 1.79	    Compute complete	   604.212	      7227	
       Gradient method without preconditioner	  1.8	    Compute complete	   603.955	      7227	
       Gradient method without preconditioner	 1.81	    Compute complete	   631.673	      7227	
       Gradient method without preconditioner	 1.82	    Compute complete	   659.397	      7227	
       Gradient method without preconditioner	 1.83	    Compute complete	   606.033	      7227	
       Gradient method without preconditioner	 1.84	    Compute complete	   601.472	      7227	
       Gradient method without preconditioner	 1.85	    Compute complete	   617.324	      7227	
       Gradient method without preconditioner	 1.86	    Compute complete	   618.589	      7227	
       Gradient method without preconditioner	 1.87	    Compute complete	   635.951	      7227	
